longitude,city,beds,days_on_mls,rent,baths,latitude,neighborhood
-122.264359,Berkeley,3,198,4575.0,1.0,37.875103,North Berkeley
-122.254042,Berkeley,Studio,6,1976.67,,37.86288,Southside
-122.253548,Berkeley,5,233,8990.0,2.0,37.868263,Southside
-122.27375,Berkeley,2,1,2295.0,1.0,37.851688,Central Berkeley
-122.280167,Berkeley,Studio,1,1950.0,1.0,37.860245,West Berkeley
-122.286957,Berkeley,Studio,274,2625.0,1.0,37.851864,West Berkeley
-122.286957,Berkeley,1,274,3387.5,1.5,37.851864,West Berkeley
-122.286957,Berkeley,2,274,4150.0,2.0,37.851864,West Berkeley
-122.264259,Berkeley,2,59,950.0,1.0,37.864643,North Berkeley
-122.268135,Berkeley,2,313,2995.0,1.0,37.867119,Southside
-122.294098,Berkeley,,0,3301.35,,37.862789,West Berkeley
-122.260765,Berkeley,Studio,1,1895.0,,37.8634,Southside
-122.263954,Berkeley,,178,3301.35,,37.862831,Southside
-122.276428,Berkeley,2,61,2500.0,1.0,37.868736,Central Berkeley
-122.275635,Berkeley,2,82,2900.0,1.0,37.872002,Central Berkeley
-122.270241,Berkeley,2,117,3795.0,1.0,37.864239,Southside
-122.267006,Berkeley,1,12,2729.0,1.0,37.869205,Southside
-122.25013,Berkeley,2,353,3800.0,2.0,37.866135,Southside
-122.261452,Berkeley,2,109,3795.0,1.0,37.883282,Berkeley Hills
-122.26207,Berkeley,2,17,1647.0,1.0,37.866753,Southside
-122.274676,Berkeley,1,0,2495.0,1.0,37.869098,Central Berkeley
-122.262265,Berkeley,2,222,2600.0,1.0,37.866733,Southside
-122.255165,Berkeley,1,1,2030.0,1.0,37.860111,Claremont Elmwood
-122.267326,Berkeley,Studio,110,3449.0,1.0,37.872738,Southside
-122.267326,Berkeley,1,110,4528.67,1.3,37.872738,Southside
-122.267326,Berkeley,2,110,5608.33,1.7,37.872738,Southside
-122.267326,Berkeley,3,110,6688.0,2.0,37.872738,Southside
-122.280617,Berkeley,Studio,10,1900.0,1.0,37.851158,West Berkeley
