longitude,beds,days_on_mls,rent,baths,latitude,distance_to_ucb_km
-122.253258,2.0,11,2700.0,2.0,37.85651,1.6178783043287
-122.281609,,1,3301.35,,37.864269,2.049747333574332
-122.262352,0.0,69,2195.0,1.0,37.863979,0.7356531892023118
-122.262352,1.0,69,2695.0,1.0,37.863979,0.7356531892023118
-122.262352,2.0,69,3195.0,1.0,37.863979,0.7356531892023118
-122.271126,3.0,55,4000.0,2.0,37.852684,2.198902396031698
-122.277061,1.0,69,2365.0,1.0,37.87138,1.5470254542434259
-122.277061,2.0,69,3062.0,1.4,37.87138,1.5470254542434259
-122.277061,3.0,69,3759.0,1.8,37.87138,1.5470254542434259
-122.277061,4.0,69,4456.0,2.2,37.87138,1.5470254542434259
-122.277061,5.0,69,5153.0,2.6,37.87138,1.5470254542434259
-122.277061,6.0,69,5850.0,3.0,37.87138,1.5470254542434259
-122.250185,0.0,6,1976.67,,37.868305,0.8443740250078559
-122.260902,2.0,274,3500.0,1.0,37.877399,0.8098958098579025
,2.0,54,3575.0,2.0,,
-122.281532,1.0,0,2300.0,1.0,37.862358,2.121509438871784
-122.285072,0.0,18,2195.0,,37.852234,3.005095834218206
-122.264832,0.0,13,1600.0,1.0,37.865944,0.6656024321162816
-122.250443,0.0,1,1976.67,,37.868256,0.8238760299332201
-122.266556,0.0,288,1650.0,1.0,37.882645,1.516080858253605
-122.274673,1.0,1,2495.0,1.0,37.869098,1.3374854872425517
-122.273819,2.0,25,2550.0,1.0,37.882294,1.840644714404799
