longitude,beds,days_on_mls,rent,baths,latitude
,2.0,147,6952.0,2.0,
,1.0,2,2495.0,1.0,
-122.269112,0.0,181,1895.0,1.0,37.871838
-122.270828,1.0,20,2200.0,1.0,37.880745
-122.249295,0.0,6,1976.67,,37.866519
-122.253548,3.0,226,5990.0,1.0,37.868263
,0.0,92,1560.0,1.0,
,1.0,92,3956.67,1.3,
,2.0,92,6353.33,1.7,
,3.0,92,8750.0,2.0,
-122.281609,,1,3301.35,,37.864269
-122.259735,0.0,197,1650.0,1.0,37.859161
,0.0,230,1795.0,1.0,
-122.258228,0.0,45,875.0,,37.878376
-122.254097,0.0,1,1976.67,,37.8685
-122.280617,0.0,10,1900.0,1.0,37.851158
-122.296542,1.0,134,1950.0,1.0,37.870505
-122.28569,0.0,11,1570.0,1.0,37.861832
-122.273659,4.0,159,4400.0,1.0,37.875557
-122.273659,5.0,159,5150.0,1.5,37.875557
-122.273659,6.0,159,5900.0,2.0,37.875557
-122.284164,1.0,33,1900.0,1.0,37.870743
-122.253258,1.0,10,2350.0,1.0,37.85651
-122.279114,1.0,9,2145.0,1.0,37.859196
-122.265152,0.0,329,1995.0,1.0,37.864979
-122.264977,0.0,365,1250.0,1.0,37.86462
-122.264977,1.0,365,2462.5,1.2,37.86462
-122.264977,2.0,365,3675.0,1.5,37.86462
-122.264977,3.0,365,4887.5,1.8,37.86462
-122.264977,4.0,365,6100.0,2.0,37.86462
-122.265465,3.0,166,3300.0,1.0,37.856754
-122.274193,3.0,33,3600.0,2.0,37.877583
-122.265152,0.0,1,1995.0,1.0,37.864979
-122.253258,2.0,11,2700.0,2.0,37.85651
-122.281609,,1,3301.35,,37.864269
-122.262352,0.0,69,2195.0,1.0,37.863979
-122.262352,1.0,69,2695.0,1.0,37.863979
-122.262352,2.0,69,3195.0,1.0,37.863979
-122.271126,3.0,55,4000.0,2.0,37.852684
-122.277061,1.0,69,2365.0,1.0,37.87138
-122.277061,2.0,69,3062.0,1.4,37.87138
-122.277061,3.0,69,3759.0,1.8,37.87138
-122.277061,4.0,69,4456.0,2.2,37.87138
-122.277061,5.0,69,5153.0,2.6,37.87138
-122.277061,6.0,69,5850.0,3.0,37.87138
-122.250185,0.0,6,1976.67,,37.868305
-122.260902,2.0,274,3500.0,1.0,37.877399
,2.0,54,3575.0,2.0,
-122.281532,1.0,0,2300.0,1.0,37.862358
-122.285072,0.0,18,2195.0,,37.852234
-122.264832,0.0,13,1600.0,1.0,37.865944
-122.250443,0.0,1,1976.67,,37.868256
-122.266556,0.0,288,1650.0,1.0,37.882645
-122.274673,1.0,1,2495.0,1.0,37.869098
-122.273819,2.0,25,2550.0,1.0,37.882294
