longitude,city,beds,days_on_mls,rent,baths,zip_code,latitude
-122.256076,Berkeley,1,159,$2295.00/mo,1.0,94704,37.866532
-122.256076,Berkeley,2,159,$2295.00/mo,1.0,94704,37.866532
-122.256076,Berkeley,3,159,$2295.00/mo,1.0,94704,37.866532
-122.290111,Berkeley,Studio,1,$1500.00/mo,1.0,94702,37.869035
-122.253649,Berkeley,Studio,147,$1695.00/mo,1.0,94705,37.859402
-122.279886,Berkeley,Studio,0,$1695.00/mo,1.0,94703,37.869508
-122.279952,Berkeley,3,1,$3950.00/mo,2.0,94703,37.868914
-122.273011,Berkeley,Studio,1,$1976.67/mo,,94704,37.868204
-122.276576,Berkeley,Studio,76,$1667.00/mo,,94703,37.872271
-122.254683,Berkeley,3,65,$5595.00/mo,1.0,94704,37.863978
-122.28177,Berkeley,2,48,$2928.00/mo,1.0,94703,37.872471
-122.253263,Berkeley,2,117,$2995.00/mo,1.0,94704,37.862601
-122.264359,Berkeley,3,198,$4575.00/mo,1.0,94709,37.875103
-122.254042,Berkeley,Studio,6,$1976.67/mo,,94704,37.86288
-122.253548,Berkeley,5,233,$8990.00/mo,2.0,94704,37.868263
-122.27375,Berkeley,2,1,$2295.00/mo,1.0,94703,37.851688
-122.280167,Berkeley,Studio,1,$1950.00/mo,1.0,94702,37.860245
-122.286957,Berkeley,Studio,274,$2625.00/mo,1.0,94702,37.851864
-122.286957,Berkeley,1,274,$3387.50/mo,1.5,94702,37.851864
-122.286957,Berkeley,2,274,$4150.00/mo,2.0,94702,37.851864
-122.264259,Berkeley,2,59,$950.00/mo,1.0,94709,37.864643
-122.268135,Berkeley,2,313,$2995.00/mo,1.0,94704,37.867119
-122.294098,Berkeley,,0,$3301.35/mo,,94710,37.862789
-122.260765,Berkeley,Studio,1,$1895.00/mo,,94704,37.8634
-122.263954,Berkeley,,178,$3301.35/mo,,94704,37.862831
-122.276428,Berkeley,2,61,$2500.00/mo,1.0,94703,37.868736
-122.275635,Berkeley,2,82,$2900.00/mo,1.0,94703,37.872002
-122.270241,Berkeley,2,117,$3795.00/mo,1.0,94704,37.864239
